,Unnamed: 0,result_timestamp,lamax,laeq,lceq,lcpeak,night_scale,night_hour,Date,Event_name,Address,Event_type,Weight_Event_Type,Organizer,Respondents,Distance,DATEUTC,LC_HUMIDITY,LC_DWPTEMP,LC_WINDSPEED,weekday,Holiday,downseason,night_hour_sq,night_hour_cu,Weight_respondent,Event_Score_x,Total_Event_Score
1834,1834,2022-05-02 01:40:00,41.46816666666667,39.552166666666665,50.172875,62.547066666666666,2022-05-01 17:40:00,6.666666666666668,01-05-2022,Beerpong tournament,"Tiensestraat 51, Leuven",Party_Student,3.0,Recup,2.0,0.4541039407690632,2022-05-02 01:40:00,85.1639344262295,3.603442622950819,0.0007650273224043,Sunday,0,0,44.44444444444446,296.2962962962965,1,6.606417013072487,12.917407235096986
1836,1836,2022-05-02 02:00:00,41.91608333333333,40.01833333333333,49.66773333333333,62.31661666666667,2022-05-01 18:00:00,7.0,01-05-2022,Beerpong tournament,"Tiensestraat 51, Leuven",Party_Student,3.0,Recup,2.0,0.4541039407690632,2022-05-02 02:00:00,86.04371584699453,3.459125683060109,0.0011475409836065,Sunday,0,0,49.0,343.0,1,6.606417013072487,12.917407235096986
1838,1838,2022-05-02 02:20:00,41.60925,39.7205,50.1897,62.65685833333333,2022-05-01 18:20:00,7.333333333333332,01-05-2022,Beerpong tournament,"Tiensestraat 51, Leuven",Party_Student,3.0,Recup,2.0,0.4541039407690632,2022-05-02 02:20:00,86.79120879120879,3.3496703296703294,0.0007692307692307,Sunday,0,0,53.77777777777776,394.37037037037015,1,6.606417013072487,12.917407235096986
1840,1840,2022-05-02 02:40:00,41.6295,39.80283333333333,49.897983333333336,62.354933333333335,2022-05-01 18:40:00,7.666666666666668,01-05-2022,Beerpong tournament,"Tiensestraat 51, Leuven",Party_Student,3.0,Recup,2.0,0.4541039407690632,2022-05-02 02:40:00,87.35519125683061,3.3241530054644803,0.0030054644808743,Sunday,0,0,58.77777777777779,450.62962962962985,1,6.606417013072487,12.917407235096986
1842,1842,2022-05-02 03:00:00,40.161,38.828916666666665,49.723416666666665,61.61134166666667,2022-05-01 19:00:00,8.0,01-05-2022,Beerpong tournament,"Tiensestraat 51, Leuven",Party_Student,3.0,Recup,2.0,0.4541039407690632,2022-05-02 03:00:00,88.0054347826087,3.1686956521739127,0.0015760869565217,Sunday,0,0,64.0,512.0,1,6.606417013072487,12.917407235096986
1844,1844,2022-05-02 03:20:00,39.88708333333334,38.6435,49.277175,61.149566666666665,2022-05-01 19:20:00,8.333333333333332,01-05-2022,Beerpong tournament,"Tiensestraat 51, Leuven",Party_Student,3.0,Recup,2.0,0.4541039407690632,2022-05-02 03:20:00,88.50273224043715,3.090491803278688,0.0082513661202185,Sunday,0,0,69.44444444444443,578.7037037037035,1,6.606417013072487,12.917407235096986
1846,1846,2022-05-02 03:40:00,40.31175,38.87466666666666,49.94710833333333,61.7419,2022-05-01 19:40:00,8.666666666666668,01-05-2022,Beerpong tournament,"Tiensestraat 51, Leuven",Party_Student,3.0,Recup,2.0,0.4541039407690632,2022-05-02 03:40:00,89.0,3.079619565217391,0.0032608695652173,Sunday,0,0,75.11111111111113,650.9629629629633,1,6.606417013072487,12.917407235096986
1848,1848,2022-05-02 04:00:00,41.102583333333335,39.238416666666666,50.10430833333333,62.424816666666665,2022-05-01 20:00:00,9.0,01-05-2022,Beerpong tournament,"Tiensestraat 51, Leuven",Party_Student,3.0,Recup,2.0,0.4541039407690632,2022-05-02 04:00:00,89.33333333333333,2.9808196721311475,0.0030601092896174,Sunday,0,0,81.0,729.0,1,6.606417013072487,12.917407235096986
1850,1850,2022-05-02 04:20:00,40.99658333333333,39.05883333333333,51.31028333333333,63.17916666666667,2022-05-01 20:20:00,9.333333333333332,01-05-2022,Beerpong tournament,"Tiensestraat 51, Leuven",Party_Student,3.0,Recup,2.0,0.4541039407690632,2022-05-02 04:20:00,89.87096774193549,2.891344086021505,0.0046774193548387,Sunday,0,0,87.11111111111109,813.0370370370367,1,6.606417013072487,12.917407235096986
1852,1852,2022-05-02 04:40:00,40.63358333333333,39.23583333333333,51.436925,62.855625,2022-05-01 20:40:00,9.666666666666668,01-05-2022,Beerpong tournament,"Tiensestraat 51, Leuven",Party_Student,3.0,Recup,2.0,0.4541039407690632,2022-05-02 04:40:00,90.13513513513512,2.916054054054054,0.0041081081081081,Sunday,0,0,93.44444444444447,903.2962962962966,1,6.606417013072487,12.917407235096986
1854,1854,2022-05-02 05:00:00,39.94733333333333,38.67966666666666,50.05771666666667,61.71394166666666,2022-05-01 21:00:00,10.0,01-05-2022,Beerpong tournament,"Tiensestraat 51, Leuven",Party_Student,3.0,Recup,2.0,0.4541039407690632,2022-05-02 05:00:00,90.15300546448088,3.050601092896174,0.0050273224043715,Sunday,0,0,100.0,1000.0,1,6.606417013072487,12.917407235096986
1856,1856,2022-05-02 05:20:00,40.84283333333333,39.6295,51.674508333333335,63.01749166666667,2022-05-01 21:20:00,10.333333333333332,01-05-2022,Beerpong tournament,"Tiensestraat 51, Leuven",Party_Student,3.0,Recup,2.0,0.4541039407690632,2022-05-02 05:20:00,89.42391304347827,3.2946195652173915,0.0057608695652173,Sunday,0,0,106.77777777777776,1103.37037037037,1,6.606417013072487,12.917407235096986
1858,1858,2022-05-02 05:40:00,43.80791666666666,41.92,52.91494166666666,64.44777500000001,2022-05-01 21:40:00,10.666666666666668,01-05-2022,Beerpong tournament,"Tiensestraat 51, Leuven",Party_Student,3.0,Recup,2.0,0.4541039407690632,2022-05-02 05:40:00,87.92391304347827,3.7410869565217393,0.0154347826086956,Sunday,0,0,113.7777777777778,1213.62962962963,1,6.606417013072487,12.917407235096986
1860,1860,2022-05-02 06:00:00,46.41175,44.049416666666666,54.17724166666667,65.7463,2022-05-01 22:00:00,11.0,01-05-2022,Beerpong tournament,"Tiensestraat 51, Leuven",Party_Student,3.0,Recup,2.0,0.4541039407690632,2022-05-02 06:00:00,84.79032258064517,4.1863440860215055,0.0127419354838709,Sunday,0,0,121.0,1331.0,1,6.606417013072487,12.917407235096986
1862,1862,2022-05-02 06:20:00,48.59816666666667,46.085166666666666,56.776808333333335,68.195475,2022-05-01 22:20:00,11.333333333333332,01-05-2022,Beerpong tournament,"Tiensestraat 51, Leuven",Party_Student,3.0,Recup,2.0,0.4541039407690632,2022-05-02 06:20:00,79.55376344086021,4.379569892473119,0.0156989247311827,Sunday,0,0,128.44444444444443,1455.7037037037032,1,6.606417013072487,12.917407235096986
1864,1864,2022-05-02 06:40:00,47.821,45.50508333333333,57.45269166666667,68.66137499999999,2022-05-01 22:40:00,11.666666666666668,01-05-2022,Beerpong tournament,"Tiensestraat 51, Leuven",Party_Student,3.0,Recup,2.0,0.4541039407690632,2022-05-02 06:40:00,73.59042553191489,4.539734042553191,0.0277127659574468,Sunday,0,0,136.11111111111114,1587.9629629629635,1,6.606417013072487,12.917407235096986
1866,1866,2022-05-02 07:00:00,51.08466666666666,49.12066666666667,59.1191,70.58598333333333,2022-05-01 23:00:00,12.0,01-05-2022,Beerpong tournament,"Tiensestraat 51, Leuven",Party_Student,3.0,Recup,2.0,0.4541039407690632,2022-05-02 07:00:00,68.34210526315789,4.869368421052632,0.063,Sunday,0,0,144.0,1728.0,1,6.606417013072487,12.917407235096986
