Name,Address,Date,Location,Organizer,Event type
after all springville / disasters and amusement parks,"Naamsestraat 96, 3000 Leuven",wo 22 mrt 2023 20:30,Manhattan,Stuk,Other
Duet for two string trios — GEANNULEERD,"Naamsestraat 96, 3000 Leuven",di 28 mrt 2023 20:30,Manhattan,Stuk,Other
Zonzo Compagnie - Hey Meredith! - De wereld van Meredith Monk (familievoorstelling 6+),"Naamsestraat 96, 3000 Leuven",wo 29 mrt 2023 15:00,Manhattan,Stuk,Other
STUDIO L A - Arna Mačkić — nieuwe locatie,"Naamsestraat 96, 3000 Leuven",wo 29 mrt 2023 20:00,College De Valk Aula DV1 01.56,Stuk,Other
FLY,"Naamsestraat 96, 3000 Leuven",do 30 mrt 2023 20:30,Manhattan,Stuk,Other
PAM P.M 9,"Naamsestraat 96, 3000 Leuven",vr 31 mrt 2023 13:00 - 16:00,Minardschouwburg,Stuk,Other
promise me,"Naamsestraat 96, 3000 Leuven",vr 31 mrt 2023 20:00,30CC/Schouwburg,Stuk,Other
Feest van de filosofie - Weerloos en waardevol,"Naamsestraat 96, 3000 Leuven",za 1 apr 2023 13:00,30CC/Schouwburg,Stuk,Other
Shaping Saferspaces: A Guided Workshop,"Naamsestraat 96, 3000 Leuven",za 1 apr 2023 14:00,Manhattan,Stuk,Other
"IV5: Nadah El Shazly, Marija Rasa & Moogy Maserati (dj)","Naamsestraat 96, 3000 Leuven",za 1 apr 2023 20:00,Manhattan,Stuk,Other
Steve Gunn / Echo Beatty,"Naamsestraat 96, 3000 Leuven",di 18 apr 2023 20:00,Manhattan,Stuk,Other
STUDIO PAOLA VIGANO - nieuwe locatie,"Naamsestraat 96, 3000 Leuven",wo 19 apr 2023 20:00,College De Valk Aula Zeger Van Hee,Stuk,Other
D̶A̶R̶K̶MATTER,"Naamsestraat 96, 3000 Leuven",wo 19 apr 2023 20:30,Manhattan,Stuk,Other
Voice Actor / Ameel Brecht + aftershow: Pega,"Naamsestraat 96, 3000 Leuven",vr 21 apr 2023 20:00 - 22:30,Manhattan,Stuk,Other
Electric Life,"Naamsestraat 96, 3000 Leuven",za 22 apr 2023 20:30,Manhattan,Stuk,Other
Symposium Dancing diaspora:  Opening up European Contemporary Dance (discourses),"Naamsestraat 96, 3000 Leuven",ma 24 apr 2023 14:00 - 18:00,OPEK,Stuk,Other
Kaitlyn Aurelia Smith / Elisabeth Klinck,"Naamsestraat 96, 3000 Leuven",di 25 apr 2023 20:00,Manhattan,Stuk,Other
Nkisi,"Naamsestraat 96, 3000 Leuven",do 27 apr 2023 20:30,Manhattan,Stuk,Other
And& Connect: Maxime Denuc plays Nachthorn • LUCA Lemmens,"Naamsestraat 96, 3000 Leuven",wo 3 mei 2023 20:00,LUCA Lemmens (kapel),Stuk,Other
Baubüro in situ / Zirkular (CH) i.p.v. RE-ST,"Naamsestraat 96, 3000 Leuven",wo 3 mei 2023 20:00,College De Valk Aula Zeger Van Hee,Stuk,Other
What Remains,"Naamsestraat 96, 3000 Leuven",wo 3 mei 2023 20:30,Manhattan,Stuk,Other
Ways Of Seeing Sound (performance),"Naamsestraat 96, 3000 Leuven",vr 5 mei 2023 20:30,Manhattan,Stuk,Other
Ways Of Seeing Sound (installatie),"Naamsestraat 96, 3000 Leuven",di 9 mei 2023 19:30 - 20:30,Manhattan,Stuk,Other
Letters 2 Dance,"Naamsestraat 96, 3000 Leuven",di 9 mei 2023 20:30,Manhattan,Stuk,Other
Beyond Music #6,"Naamsestraat 96, 3000 Leuven",do 11 mei 2023 20:00 - 22:00,Manhattan,Stuk,Other
Wat was en wat nu — nieuwe datum & locatie,"Naamsestraat 96, 3000 Leuven",vr 12 mei 2023 19:00,OPEK,Stuk,Other
Nomadics,"Naamsestraat 96, 3000 Leuven",zo 14 mei 2023 10:00,CC Gasthuis Aarschot (start),Stuk,Other
Through the Grapevine,"Naamsestraat 96, 3000 Leuven",za 13 mei 2023 20:00,Manhattan,Stuk,Other
Solos and duets,"Naamsestraat 96, 3000 Leuven",di 16 mei 2023 20:00,30CC/Schouwburg,Stuk,Other
Showcase Emerging Sound 2023,"Naamsestraat 96, 3000 Leuven",wo 17 mei 2023 20:00,Manhattan,Stuk,Other
Kiss the One We Are,"Naamsestraat 96, 3000 Leuven",di 23 mei 2023 20:30,Manhattan,Stuk,Other
Hendrik Lasure - Het Wiel / Vitja Pauwels,"Naamsestraat 96, 3000 Leuven",do 25 mei 2023 20:00 - 22:30,Manhattan,Stuk,Other
Hyena Hyena — uitgesteld,"Naamsestraat 96, 3000 Leuven",wo 31 mei 2023 20:30,STUK Soetezaal,Stuk,Other
ARTEFACT 2023: THE ECSTATIC BEING. BETWEEN KNOWING & UNDERSTANDING,"Naamsestraat 96, 3000 Leuven","do 8 jun 2023 14:00
                                                                                            - zo 25 jun 2023
                                                 19:00",STUK,Stuk,Other
ARTEFACT OPENING 23 x Slagwerk — Klein / Crystallmess / ssaliva / Otis,"Naamsestraat 96, 3000 Leuven","do 8 jun 2023 20:00
                                                                                            - vr 9 jun 2023",STUK Soetezaal + STEK,Stuk,Other
ARTEFACT SOUND 23 — Bendik Giske / Dienne / Grid Ravage,"Naamsestraat 96, 3000 Leuven",vr 9 jun 2023 20:00,STUK Soetezaal + STEK,Stuk,Other
All the Beauty and the Bloodshed,"Naamsestraat 96, 3000 Leuven",wo 14 jun 2023 20:00,Cinema ZED STUK,Stuk,Other
ARTEFACT SOUND 23 — Charlemagne Palestine & Seppe Gebruers / Holsen & Cassiers / Hans Beckers,"Naamsestraat 96, 3000 Leuven",zo 18 jun 2023 14:00,STUK Soetezaal + STEK + STUK Ateliers,Stuk,Other
Studiedag: Onder invloed van kunst en spiritualiteit,"Naamsestraat 96, 3000 Leuven",di 20 jun 2023 13:00 - 18:30,STUK,Stuk,Other
ARTEFACT SOUND 23 — Ensemble Nist-Nah / Vincent Moon & Mohammad Reza Mortazavi,"Naamsestraat 96, 3000 Leuven",do 22 jun 2023 20:00,STUK Soetezaal + STEK,Stuk,Other
ARTEFACT NIGHT 23,"Naamsestraat 96, 3000 Leuven","za 24 jun 2023 21:00
                                                                                            - zo 25 jun 2023",STEK + STUKcafé,Stuk,Other
